Temperature,Age,UFCcentri,tpH07centri,UFCcong,tpH07cong,UFClyo,TpH07lyo,UFCsto3,tpH07sto3,C140,C150,C160,C161cis,C170,C180,C181trans9,C181trans11,C181cis9,C181cis11,C19cyc,C220,Anisotropie
condition,condition,PopCentri,PopCentri,PopCong,PopCong,PopLyo,PopLyo,PopSto3,PopSto3,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell
22,3,1.60E+11,375,2.90E+10,361,1.20E+10,508,1.10E+08,1034,1.0569211993,0.0063460258,49.9049684518,0.534689617,0.2745796257,3.234606289,0,0.0369552867,0,12.356783151,32.5646628522,0.0294875014,0.145
22,3,3.00E+11,356,3.90E+10,350,8.40E+09,526,1.90E+07,1105,1.1030823404,0.0043916983,51.6396908333,0.5983008562,0.2098629851,3.3170643445,0,0,0,12.7226546359,30.3345686146,0.0703836917,0.138
22,4,2.50E+11,366,3.50E+10,360,9.90E+09,431,2.00E+08,839,1.3422344788,0.0050546389,53.1607303639,0.4216075968,0.1827707009,3.9623096657,0,0,0,6.0514955691,34.7824896508,0.0913073351,0.172
22,4,2.10E+11,351,3.20E+10,336,1.40E+10,456,3.00E+08,1016,1.0662343568,0.0018425056,52.0199619707,0.3635934426,0.1556588705,4.2154637195,0,0,0,5.7041648882,36.4388337069,0.0342465392,0.164
30,1,1.80E+11,458,3.20E+10,438,1.10E+10,599,1.60E+07,1527,2.4794981552,0.0039996162,52.1533976267,1.1524676379,0.1230015571,2.0252197157,0.0925191647,0.0393813354,0.4666540575,22.6088289074,18.8550322262,0,0.144
30,1,6.20E+10,435,2.20E+10,458,1.20E+10,618,8.00E+06,1368,2.2727274611,0.0072213134,50.0765112218,1.2664570225,0.2334036447,1.9823432065,0,0.1365731798,5.1889181138,21.9532454321,16.8825994044,0,0.147
30,2,5.80E+10,405,2.10E+10,430,8.60E+09,602,5.20E+07,1525,2.0413717681,0.004114707,48.6328952811,0.5724451352,0.1346050953,2.2951792682,0.0528507176,0,7.6506331944,9.4484004523,29.1675043808,0,0.152
30,2,2.90E+11,415,3.90E+10,383,9.90E+09,502,1.30E+07,1209,1.9717345643,0.0044145507,49.0576372356,0.720635116,0.1823065797,2.352368383,0,0,6.4767403767,10.0806248521,29.1535383419,0,0.149
30,3,1.50E+11,378,3.00E+10,355,1.10E+10,499,1.10E+08,1140,1.8211414208,0.0037785068,51.063150943,0.3520215406,0.0786030484,3.1801510222,0.1008535196,0,4.0028312439,4.3387657073,35.0587030474,0,0.164
30,3,6.00E+11,378,5.10E+10,365,1.10E+10,453,6.90E+08,832,1.8246466234,0.0031870953,51.2531107889,0.380409326,0.0518482817,3.4361472469,0,0,4.3275901121,4.8009121862,33.9221483395,0,0.164
30,4,1.80E+11,381,3.20E+10,377,1.30E+10,403,1.30E+09,828,2.2636666621,0.0029578729,56.8355917411,0.3373327251,0.0984622474,3.8699390354,0,0,0.2207399613,3.0918247214,33.17977145,0.0997135833,0.174
30,4,2.30E+11,385,3.50E+10,378,9.50E+09,438,3.50E+08,1119,2.1200670981,0.0040569863,55.8426304074,0.3470122474,0.2090375336,3.8543683835,0,0,0.1334565162,3.1694141687,34.1598827343,0.1600739246,0.17
22,3,1.70E+11,383,3.10E+10,379,7.10E+09,513,1.60E+08,1143,1.0821258008,0.0043821413,51.6598134748,0.609124195,0.289443673,3.2706733745,0,0,0,14.9301059011,28.1543314394,0,0.134
22,4,2.30E+11,370,3.50E+10,354,6.70E+09,467,2.50E+08,986,1.2439313127,0.0044368975,53.2022942161,0.4772707205,0.2499339573,4.4828606876,0,0.0511436252,0,6.5187014098,33.6892036315,0.0802235417,0.171
30,1,4.20E+10,445,1.90E+10,461,8.10E+09,663,4.40E+07,1542,2.2125920642,0.0061402158,48.8273948269,0.9833420948,0.1096264269,1.7389637599,0.0637331089,0,6.2721415685,20.2360021704,19.5500637638,0,0.143
30,2,5.20E+11,381,4.80E+10,358,9.50E+09,494,3.00E+07,1156,1.9222420783,0.0037909565,48.9601966448,0.5376125387,0.0994371278,2.5851798372,0,0,7.4851049954,8.7770902062,29.629345615,0,0.145
30,3,3.00E+11,390,3.90E+10,381,1.10E+10,451,7.80E+07,1002,1.7744632717,0.0041388408,50.3646239634,0.4168732762,0.1013320954,3.1347333186,0,0,4.4149450451,5.0496648737,34.7392253151,0,0.169
30,4,1.90E+11,398,3.30E+10,382,1.60E+10,452,1.00E+09,822,2.2679719044,0.0029640288,56.6270550111,0.349538203,0.0553289999,3.4756376665,0,0,0,3.2284203801,33.9930838062,0,0.163
