Temperature,Age,UFAdivSFA,CFAdivSFA,CFAdivUFA,Anisotropie,UFA,SFA,CFA,AMACBIOSYNTH,BIOSYNTH_CARRIERS,CELLENVELOPE,CELLPROCESSES,CENTRINTMETABO,ENMETABO,FATTYACIDMETABO,Hypoprot,OTHERCAT,PURINES,REGULFUN,REPLICATION,TRANSCRIPTION,TRANSLATION,TRANSPORTPROTEINS
22,3,0.24,0.60,2.52,0.145,12.9284280546,54.5069090931,32.5646628522,0.0332360809,0.0252296627,0.0562431638,0.0247189125,0.0131698933,0.0859133217,0.0134660818,0.2230159452,0.1408248033,0.0277694208,0.0642682395,0.0594802475,0.0165655661,0.0815707786,0.1345278825
22,3,0.24,0.54,2.28,0.138,13.3209554921,56.3444758933,30.3345686146,0.0343928192,0.025037726,0.0570070809,0.0244360056,0.013105185,0.0870433499,0.0137495469,0.2195734419,0.1387913002,0.0281529317,0.0636710153,0.0592552408,0.0169452979,0.0823930466,0.1364460122
22,4,0.11,0.59,5.37,0.172,6.4731031659,58.7444071833,34.7824896508,0.0331487692,0.0263799183,0.054991859,0.0251318187,0.0134056135,0.0872456627,0.0127020412,0.2230809459,0.1427335267,0.0261157417,0.0653513548,0.0610867901,0.0172173041,0.0802800272,0.131128627
22,4,0.11,0.63,6.01,0.164,6.0677583308,57.4934079623,36.4388337069,0.0353681606,0.0257709654,0.0568037457,0.0252356306,0.0133306705,0.0865827883,0.0132724217,0.2178230455,0.1375117191,0.0273936126,0.0644898231,0.0601211577,0.0174663405,0.0831738424,0.1356560765
30,3,0.16,0.62,3.99,0.164,8.7944720115,56.1468249412,35.0587030474,0.034820598,0.0251065582,0.0565719019,0.0245859153,0.01293277,0.084996691,0.0134788665,0.221715206,0.1409924148,0.0285150339,0.0640043688,0.0595708051,0.0168757723,0.0817247396,0.1341083585
30,3,0.17,0.60,3.57,0.164,9.5089116243,56.5689400362,33.9221483395,0.0341931828,0.0265716816,0.0552243355,0.0245811865,0.0129953619,0.0866127296,0.0131453633,0.2239545139,0.1408061029,0.0261859637,0.0653744321,0.0598743798,0.0164596806,0.0810007714,0.1330203145
30,4,0.06,0.53,9.09,0.174,3.6498974078,63.1703311422,33.17977145,0.0330987614,0.0264484439,0.0560775783,0.0247697462,0.0128230538,0.0844530621,0.0133197382,0.2205541374,0.1401724546,0.028929478,0.0653736953,0.0617321391,0.0170162163,0.0811243215,0.134107174
30,4,0.06,0.55,9.36,0.17,3.6498829323,62.1902343335,34.1598827343,0.0339182519,0.0259286304,0.0573149953,0.0250604115,0.0124310883,0.0846137053,0.0131663141,0.2177146772,0.1388171646,0.0287691617,0.0658240426,0.0615682643,0.0175952343,0.0816376717,0.1356403867
22,3,0.28,0.50,1.81,0.134,15.5392300961,56.3064384644,28.1543314394,0.0331339194,0.0252353842,0.0556660861,0.0250173827,0.013011242,0.0847979586,0.0129882945,0.2247273261,0.1418408957,0.0275370201,0.063789507,0.0596084695,0.0168411825,0.0822461947,0.1335591369
22,4,0.12,0.57,4.78,0.171,7.0471157555,59.263680613,33.6892036315,0.034602357,0.0267309173,0.0554764312,0.024684343,0.0134749209,0.0865587787,0.0126779376,0.225371618,0.1414743699,0.0261110414,0.0653108112,0.0607724342,0.0167538675,0.0789456207,0.1310545515
30,3,0.18,0.63,3.52,0.169,9.881483195,55.37929149,34.7392253151,0.0359856427,0.0266154921,0.0572491323,0.0243481763,0.0126254191,0.0846275039,0.0133646067,0.2196927159,0.1399860218,0.0277147968,0.064252461,0.0601324378,0.0169207624,0.0821019463,0.134382885
30,4,0.06,0.54,9.50,0.163,3.5779585831,62.4289576107,33.9930838062,0.0323673571,0.0260856253,0.0558052688,0.0251821401,0.0129449351,0.0850279955,0.0135347101,0.2214341824,0.1412699488,0.0276717438,0.066569291,0.0622300524,0.0174949869,0.0799157751,0.1324659875
