Temperature,Age,UFCcentri,tpH07centri,UFCcong,tpH07cong,UFClyo,TpH07lyo,UFCsto3,tpH07sto3,C140,C150,C160,C161cis,C170,C180,C181trans9,C181trans11,C181cis9,C181cis11,C19cyc,C220,Anisotropie,AMACBIOSYNTH,BIOSYNTH_CARRIERS,CELLENVELOPE,CELLPROCESSES,CENTRINTMETABO,ENMETABO,FATTYACIDMETABO,Hypoprot,OTHERCAT,PURINES,REGULFUN,REPLICATION,TRANSCRIPTION,TRANSLATION,TRANSPORTPROTEINS
22,3,160000000000,375,29000000000,361,12000000000,508,110000000,1034,1.0569211993,0.0063460258,49.9049684518,0.534689617,0.2745796257,3.234606289,0,0.0369552867,0,12.356783151,32.5646628522,0.0294875014,0.145,14251,10818,24116,10599,5647,36838,5774,95625,60383,11907,27557,25504,7103,34976,57683
22,3,300000000000,356,39000000000,350,8400000000,526,19000000,1105,1.1030823404,0.0043916983,51.6396908333,0.5983008562,0.2098629851,3.3170643445,0,0,0,12.7226546359,30.3345686146,0.0703836917,0.138,14518,10569,24064,10315,5532,36743,5804,92687,58587,11884,26877,25013,7153,34780,57597
22,4,250000000000,366,35000000000,360,9900000000,431,200000000,839,1.3422344788,0.0050546389,53.1607303639,0.4216075968,0.1827707009,3.9623096657,0,0,0,6.0514955691,34.7824896508,0.0913073351,0.172,12297,9786,20400,9323,4973,32365,4712,82755,52949,9688,24243,22661,6387,29781,48644
22,4,210000000000,351,32000000000,336,14000000000,456,300000000,1016,1.0662343568,0.0018425056,52.0199619707,0.3635934426,0.1556588705,4.2154637195,0,0,0,5.7041648882,36.4388337069,0.0342465392,0.164,12751,9291,20479,9098,4806,31215,4785,78530,49576,9876,23250,21675,6297,29986,48907
30,3,150000000000,378,30000000000,355,11000000000,499,110000000,1140,1.8211414208,0.0037785068,51.063150943,0.3520215406,0.0786030484,3.1801510222,0.1008535196,0,4.0028312439,4.3387657073,35.0587030474,0,0.164,15048,10850,24448,10625,5589,36732,5825,95816,60931,12323,27660,25744,7293,35318,57956
30,3,600000000000,378,51000000000,365,11000000000,453,690000000,832,1.8246466234,0.0031870953,51.2531107889,0.380409326,0.0518482817,3.4361472469,0,0,4.3275901121,4.8009121862,33.9221483395,0,0.164,14361,11160,23194,10324,5458,36377,5521,94060,59138,10998,27457,25147,6913,34020,55868
30,4,180000000000,381,32000000000,377,13000000000,403,1300000000,828,2.2636666621,0.0029578729,56.8355917411,0.3373327251,0.0984622474,3.8699390354,0,0,0.2207399613,3.0918247214,33.17977145,0.0997135833,0.174,13861,11076,23484,10373,5370,35367,5578,92363,58701,12115,27377,25852,7126,33973,56161
30,4,230000000000,385,35000000000,378,9500000000,438,350000000,1119,2.1200670981,0.0040569863,55.8426304074,0.3470122474,0.2090375336,3.8543683835,0,0,0.1334565162,3.1694141687,34.1598827343,0.1600739246,0.17,13517,10333,22841,9987,4954,33720,5247,86763,55321,11465,26232,24536,7012,32534,54055
22,3,170000000000,383,31000000000,379,7100000000,513,160000000,1143,1.0821258008,0.0043821413,51.6598134748,0.609124195,0.289443673,3.2706733745,0,0,0,14.9301059011,28.1543314394,0,0.134,14439,10997,24258,10902,5670,36953,5660,97931,61811,12000,27798,25976,7339,35841,58202
22,4,230000000000,370,35000000000,354,6700000000,467,250000000,986,1.2439313127,0.0044368975,53.2022942161,0.4772707205,0.2499339573,4.4828606876,0,0.0511436252,0,6.5187014098,33.6892036315,0.0802235417,0.171,14067,10867,22553,10035,5478,35189,5154,91621,57514,10615,26551,24706,6811,32094,53278
30,3,300000000000,390,39000000000,381,11000000000,451,78000000,1002,1.7744632717,0.0041388408,50.3646239634,0.4168732762,0.1013320954,3.1347333186,0,0,4.4149450451,5.0496648737,34.7392253151,0,0.169,15189,11234,24164,10277,5329,35720,5641,92729,59086,11698,27120,25381,7142,34654,56721
30,4,190000000000,398,33000000000,382,16000000000,452,1000000000,822,2.2679719044,0.0029640288,56.6270550111,0.349538203,0.0553289999,3.4756376665,0,0,0,3.2284203801,33.9930838062,0,0.163,12897,10394,22236,10034,5158,33880,5393,88232,56290,11026,26525,24796,6971,31843,52782
